[2025-03-20 12:39:10,573] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:39:10,589] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30095 | Distance:   55.12 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:10,607] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:39:10,617] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:39:10,627] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30092 | Distance:    8.84 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:39:10,646] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30104 | Distance:  118.38 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:39:10,668] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:10,670] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:10,699] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778968 bit
[2025-03-20 12:39:10,713] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:39:10,731] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:10,747] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30119 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:39:10,762] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:10,781] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30091 | Distance:  141.18 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:10,794] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30119 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:39:10,810] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:39:10,826] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:10,842] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:10,857] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:10,870] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30019 | Distance:  122.13 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:10,873] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778984 bit
