[2025-03-20 12:06:08,759] [INFO] Random node started: localhost:30015 | index= 16 | f=1, k=4
[2025-03-20 12:17:36,752] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:36,775] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30000 | Distance:  151.52 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:36,852] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:36,890] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:37,110] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:17:44,380] [INFO] Phase: PRE-PREPARE | Receiver: 30015 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6992s | Size: 16781072 bit
[2025-03-20 12:17:44,384] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30015 | Distance:  130.62 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:17:44,703] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:17:44,707] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30015 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:17:44,775] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:45,035] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
